code,mu,sigma,tvalue
stock102253,0.3111786856171363,0.1647892167227472,1.8883437387816757
stock100156,0.28832750688394493,0.24081812076788656,1.1972832690686532
stock102988,0.2059114492674594,0.19617416908094368,1.0496358936150152
stock100379,0.24098788128483867,0.24657568423508253,0.9773383861122473
stock103342,0.6480824202091734,0.6834888348818929,0.9481975229648956
stock102588,0.3526133122481484,0.3781054688595436,0.9325792438594299
stock101783,0.28049276901139275,0.3062720385665114,0.9158288504697424
stock100058,0.35131628089913086,0.399529558278097,0.8793248800245044
stock102521,0.09421054368678623,0.10909063613464114,0.8635988112720354
stock103338,0.4459405159789475,0.5302011093696973,0.8410780515134743
stock102941,0.12181656709120123,0.14487847249435754,0.8408189636037577
stock102991,0.14792048785084697,0.1782549378150455,0.8298254716754434
stock102406,0.3632515527584069,0.45406829676525934,0.7999932066303186
stock100648,0.4385008647215737,0.5503799121544101,0.7967239629170032
stock103374,1.0053752340838116,1.2751288011530046,0.7884499457425204
stock102465,0.1976744624853316,0.2517869127647143,0.7850863268260935
stock101653,0.23557730085712603,0.3023050267326073,0.7792702073243962
stock100638,0.5888833454146771,0.7578839848742757,0.7770098816804609
stock101854,0.1612495798127223,0.2104043313599566,0.7663795643867185
stock100316,0.15388737549391235,0.20156054325788805,0.763479662272095
stock100865,0.18958568516005206,0.24885279400621,0.7618386842597438
stock102563,0.22386830241970074,0.29971601882382876,0.7469347260724465
stock100385,0.15782963478740894,0.21225877119280703,0.7435717916412654
stock102925,0.25088997227429966,0.3382014830797919,0.7418358133429804
stock100887,0.1392368653832964,0.18819371018687767,0.7398592930923846
stock103157,0.217104123116242,0.30322444560230905,0.7159848958912195
stock100061,0.1345280688507915,0.1956486515332135,0.6876002865164337
stock100677,0.21997820017950245,0.3221311979914918,0.6828838732512724
stock103438,0.21648709858834594,0.32840909819472625,0.6591994551258824
stock102791,0.1392280951173541,0.21693614366018793,0.6417929846464087
