code,n
stock103374,177
stock100648,160
stock102406,140
stock100677,137
stock101623,132
stock102853,132
stock101097,129
stock102588,125
stock100214,122
stock100638,121
stock102106,121
stock102651,121
stock101653,118
stock100058,116
stock101422,116
stock103211,116
stock102109,113
stock103342,112
stock102796,110
stock100156,109
stock102311,109
stock102925,109
stock103554,109
stock100916,107
stock102253,107
stock102563,106
stock100674,105
stock102312,105
stock103338,104
stock100067,99
stock100719,99
stock103157,99
